Date,AM12,AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,AM9,AM10,AM11,PM12,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11
5/5/98,23419,21141,20186,19662,19451,19741,21516,25077,27878,28943,29513,30104,30196,30112,30009,29681,29505,29686,29403,28981,28925,29988,28696,26056
5/6/98,23361,21213,20450,19936,19685,20019,21822,25213,28118,29161,29430,30035,30182,29994,30102,29990,29763,29635,29338,28667,28423,29644,28823,26394
5/7/98,23544,21153,20402,19855,19613,19992,21730,25091,27822,29010,29633,30155,30340,30120,30397,30245,30132,30141,29690,29087,29059,30017,29349,26492
5/8/98,23838,21497,20278,19972,19693,19936,21597,24897,28014,29239,29896,30434,30484,30267,30176,29780,29449,29255,29019,28423,28062,28330,27364,25670
5/9/98,23291,21174,20161,19480,19317,19239,19745,20562,21942,23923,25689,26671,26846,26757,25853,25193,24786,24823,24727,24803,24980,25924,25581,24043
5/10/98,22063,20210,19095,18444,18070,18038,18228,18748,19681,21567,23139,23973,24190,24192,23923,23643,23392,23610,23808,23982,24445,25937,25637,24252
5/11/98,21617,20308,19129,19091,19033,19446,21400,24782,27828,29223,29653,30036,30140,30255,30076,29744,29480,29749,29978,29842,29710,30237,28973,26313
5/12/98,23817,22377,21570,21162,21105,21367,23170,26621,29476,30548,30683,31028,31244,30907,30924,30818,30364,30518,30280,29713,29492,30438,29679,27412
5/13/98,24504,22326,21644,21328,21137,21505,23371,26467,28999,29894,29937,30234,30291,30088,30331,30018,29795,29688,29229,28588,28240,29316,29409,27235
5/14/98,24543,21305,20392,19990,19877,20218,22096,25092,27613,28467,28976,29497,29432,29535,29640,29739,29655,29673,29308,28456,28036,28989,28449,26194
5/15/98,23935,21429,20270,19808,19552,19740,21435,24474,27311,28640,29344,30390,31128,31203,31478,31895,32036,31861,31321,30270,29518,29975,30014,27599
5/16/98,24994,22546,20968,20303,19833,19570,19871,20539,22538,25058,27185,28283,29214,29567,29591,29621,29944,30368,30436,30149,29440,29834,29467,27677
5/17/98,25355,23325,21576,20640,19996,19571,19471,19745,20535,22317,24244,25531,26185,26716,26975,27011,27260,27642,27959,27846,27265,28039,28663,26349
5/18/98,23760,21705,20642,19985,19668,19970,21675,24554,27708,30095,31213,32099,32933,33327,33943,34317,34683,34730,34395,33416,32603,32768,32600,29760
5/19/98,26651,23875,22275,21723,21224,21315,22783,25882,29178,31298,32559,33970,34382,35092,36212,36712,36976,37137,36899,35993,35078,35331,34802,31611
5/20/98,28281,25365,23631,22815,22331,22411,23673,26442,29898,31549,32838,34494,35626,36508,37436,38517,38990,39000,38757,37512,36017,36048,35605,32375
5/21/98,29072,26013,24625,23569,23093,23022,24388,27341,30052,32223,33623,34873,35312,35812,36273,36206,35932,36091,35558,33647,32086,31591,31231,28345
5/22/98,25314,22472,21160,20628,20111,20375,21627,24366,27301,28494,29148,29759,30034,29918,30000,29938,29630,29250,28826,28048,27107,27442,27519,25311
5/23/98,22924,20867,19642,19140,18403,18579,18880,19384,21076,22759,24220,24903,24944,24767,24272,24271,24166,24397,24523,24312,24113,24751,25230,23730
5/24/98,21588,19806,18161,17600,17655,17461,17530,17698,18859,20559,22271,23170,23744,24028,23966,23838,23858,24045,24093,23875,23681,24298,24948,23320
5/25/98,21588,19869,18792,18187,17879,17904,18123,18421,19512,21532,23609,24903,25548,25898,25831,25708,25744,26001,26161,26096,26516,27601,27893,25861
5/26/98,23396,21478,20479,19804,19489,19894,21521,24648,27922,30299,30723,31826,32650,32706,32821,33196,33267,33326,32817,31869,30898,31149,30978,28326
5/27/98,25229,22920,21766,20895,20522,20878,22498,25383,28295,29997,31103,32026,32593,32834,33109,33267,33152,33245,32905,31881,31046,31384,31327,28728
5/28/98,25657,22973,21705,21230,20676,20775,22173,25089,28604,30455,31897,33334,34139,34719,35427,35717,35930,36060,35767,34428,33123,33466,33320,30439
5/29/98,27217,24498,22952,22096,21693,21948,23499,26326,29859,31530,33004,34802,35804,36684,37960,38361,39029,39382,38776,37145,35567,34778,33546,30944
5/30/98,28111,25612,23533,22825,22253,21882,22139,22773,24805,27533,29771,31789,33327,34140,34266,34599,35114,35314,35262,34573,33556,33278,33523,31377
5/31/98,28845,26527,24647,23464,22740,22077,21996,21998,23614,26293,28963,31270,33277,34401,35189,35731,36149,36366,36348,35804,34982,35409,35207,33052
6/1/98,29737,26972,24453,22514,22127,22367,24042,26606,29180,31487,32856,33605,33704,33889,34007,33971,33966,33818,33426,32188,30856,30748,30776,27945
6/2/98,24860,22409,21206,20418,20233,20594,21680,24629,27696,29286,30057,31069,31498,31926,32561,33227,33525,33715,32975,31817,31145,31391,31019,28450
6/3/98,25339,23245,22097,21532,21059,21278,22243,25107,28015,30201,30396,30968,31318,31403,31376,31668,31572,31247,30562,29256,28834,29047,28808,26470
6/4/98,23624,21449,20244,19848,19729,19902,21398,24112,27124,28538,29201,29908,30191,30357,30358,30427,30266,30045,29871,28792,28291,28759,29143,26684
6/5/98,23818,21775,20685,20018,19785,20020,21156,23973,26855,28441,29264,30365,30501,30219,30378,30263,29819,29307,28747,27917,27294,27513,27358,25447
